Пол,Высшая школа,Округ,Спорт,Цвет глаз,Во сколько встаете,Курение,К/ч
1,Эк и Б,ВАО,0,Карий,9,0,ч
1,Кибер,ЮЗАО,1,Голубой,9,0,ч
0,Кибер,САО,1,Зеленый,10,1,к
1,Эк и Б,ЦАО,0,Зеленый,10,0,ч
1,Кибер,ЮЗАО,1,Карий,9,0,ч
1,Кибер,СВАО,0,Карий,6,0,ч
1,Право,ЮВАО,0,Голубой,7,1,к
1,Кибер,ЮЗАО,1,Карий,7,0,ч
0,Кибер,ЮЗАО,1,,8,0,к
0,Эк и Б,СВАО,1,Серый,6,0,к
1,Кибер,ЗАО,1,Карий,7,0,ч
0,Фин,ЮЗАО,1,Голубой,7,1,к
0,Кибер,ЮЗАО,1,Зеленый,10,1,к
0,Кибер,ВАО,0,Карий,8,1,к
0,Кибер,ЮАО,1,Карий,7,0,ч
1,Кибер,ВАО,1,Карий,7,0,ч
1,Эк и Б,САО,1,Зеленый,10,1,ч
0,Эк и Б,СВАО,0,Карий,12,1,к
0,Эк и Б,ЦАО,0,Карий,7,1,ч
1,Соц и гуманитар,ЮЗАО,1,Зеленый,8,0,к
1,Кибер,ЮВАО,1,Карий,8,0,к
0,Фин,ВАО,1,Голубой,8,0,ч
